nth slice...,-1,-6,-3,-10,-2,3,-5,-4,-7,2,5,4,7,6,9,8,1,-9,-8,10
"(4, [0, 7, 17])",,,,1,,,1,,,,,,,,,,,,,
"(-4, [0, 5, 19, 22])",,,,,,,,,,,,,,,,,1,,,
"(9, [0, 3, 8, 15])",,,,,,,,,,,,,,,,,,,1,
"(1, [0, 3, 10, 15])",,,1,,,,,,,,,,,,,,,,,
"(-7, [0, 15, 20, 24])",,,,2,,,,,2,,1,,,,,1,,,,2
"(3, [0, 7, 16])",8,,9,2,8,4,,,,3,1,1,,,,,,2,,
"(1, [0, 6, 16, 21])",,,,,,,,,,,,,1,,,1,,,,1
"(1, [0, 5, 7, 14])",,,,,,,2,,,,,,,,1,1,,,,
"(-7, [0, 19, 22, 27])",,,,,,,,,,,,1,,,,,,,,
"(5, [0, 5, 7])",,,,,,,,,,,,,,,,,,1,,
"(-1, [0, 12, 18, 21])",,,,,,,2,,,,,,,,,,,,,1
"(-10, [0, 16, 19, 21])",,,,,,,,,,,,,,,,,,1,,
"(1, [0, 9, 16, 21])",2,,,,,,1,,,,,,,,1,,,1,,
"(3, [0, 3, 10, 15])",,1,,,,1,,,1,3,,,,,,,,,,
"(-1, [0, 6, 9, 14])",,1,,,,,,,1,,,,,,1,,,,1,
"(-9, [0, 7, 24, 28])",,,,,,,,,,,,,,,,,,1,,
"(5, [0, 1, 8, 17])",7,,1,1,,,,,,,,1,,,,,,,,
"(0, [0, 5, 17, 20])",,,,,,,,,,,,,1,,,,,,,
"(1, [0, 2, 14, 18])",2,,,,,,,,,,,,,,,,,,,
"(1, [0, 5, 9, 15])",,,,,,2,,,,,,,,,,,,,,
"(3, [0, 3, 8, 15])",,,1,,,1,1,,3,,,1,,,,,,,1,
"(-6, [0, 7, 11, 16])",,,,,,,,,,,,,,,1,,,,,
"(5, [0, 5, 8])",,,,,,1,,,,,,1,,,,,,,,
"(-6, [0, 12, 19, 26])",,,,,,,,3,,,,,,,,,,,,
"(-4, [0, 3, 12, 21])",,,,,,,,,,,,,,1,,,,,,
"(-2, [0, 3, 19, 27])",,,,,,,,,,,,,,,,,1,,,
"(3, [0, 5, 8, 15])",,,,,,,,,,,,,,,2,,,,,1
"(-3, [0, 12, 19, 21])",,,,,,,,,,,,,,,,1,,,,
"(-2, [0, 3, 12, 17])",,,,,,1,,,,,,,,,,,,,,
"(5, [0, 8, 15, 24])",,,,,,,,,,,,,,,1,,,,,
"(-3, [0, 12, 19, 28])",,,,,,,,,,,,,,2,,,,,,
"(-4, [0, 16, 19, 24])",,,3,1,2,,1,1,1,,,4,,,,1,3,8,1,
"(-9, [0, 17, 24, 31])",,,,,,,,,,1,,,,,,,,,,
"(0, [0, 5, 13, 20])",,,,,1,,,,,1,,1,,,,,,,,
"(3, [0, 4, 7, 12])",,,5,1,2,,4,3,2,,3,,1,1,2,1,,,,1
"(3, [0, 9, 12, 16])",,,,,,2,,,,,,,,,,1,,,,
